Date,Close
02/28/1980,638
02/29/1980,640
03/03/1980,637
03/04/1980,633.25
03/05/1980,641.75
03/06/1980,634.25
03/07/1980,602.25
03/10/1980,602
03/11/1980,569
03/12/1980,582.5
03/13/1980,574.3
03/14/1980,502.75
03/17/1980,480
03/18/1980,474
03/19/1980,514
03/20/1980,561
03/21/1980,535
03/24/1980,544
03/25/1980,548.5
03/26/1980,525
03/27/1980,486
03/28/1980,490
03/31/1980,503.25
04/01/1980,501.5
04/02/1980,498
04/03/1980,491.25
04/08/1980,518.4
04/09/1980,547
04/10/1980,539.5
04/11/1980,532
04/14/1980,532.8
04/15/1980,495.5
04/16/1980,513.5
04/17/1980,511.5
04/18/1980,511.75
04/21/1980,506.5
04/22/1980,494.5
04/23/1980,506.75
04/24/1980,514.25
04/25/1980,552
04/28/1980,535.25
04/29/1980,513
04/30/1980,519.25
05/01/1980,507.75
05/02/1980,510
05/06/1980,517.5
05/07/1980,509.25
05/08/1980,513.75
05/09/1980,510.5
05/12/1980,510.5
05/13/1980,510
05/14/1980,518.5
05/15/1980,516.25
05/16/1980,516.1
05/19/1980,515.1
05/20/1980,509.8
05/21/1980,511.75
05/22/1980,507.5
05/23/1980,510.5
05/27/1980,514.2
05/28/1980,524
05/29/1980,521
05/30/1980,531.4
06/02/1980,563
06/03/1980,554.5
06/04/1980,568
06/05/1980,581.5
06/06/1980,598
06/09/1980,627.5
06/10/1980,606.5
06/11/1980,595
06/12/1980,588.75
06/13/1980,609.25
06/16/1980,599
06/17/1980,590.75
06/18/1980,602.5
06/19/1980,598
06/20/1980,603.75
06/23/1980,596
06/24/1980,599.75
06/25/1980,617.5
06/26/1980,623.25
06/27/1980,631.5
06/30/1980,662.5
07/01/1980,656
07/02/1980,672
07/03/1980,664.5
07/04/1980,668.5
07/07/1980,665.75
07/08/1980,688.75
07/09/1980,678
07/10/1980,665
07/11/1980,663.5
07/14/1980,649
07/15/1980,621
07/16/1980,624.5
07/17/1980,630.25
07/18/1980,610
07/21/1980,620.75
07/22/1980,611.5
07/23/1980,632
07/24/1980,635.5
07/25/1980,652.5
07/28/1980,643.25
07/29/1980,645.5
07/30/1980,636.5
07/31/1980,618
08/01/1980,622
08/04/1980,622.25
08/05/1980,635.5
08/06/1980,628.5
08/07/1980,632.5
08/08/1980,631.25
08/11/1980,614.5
08/12/1980,613.25
08/13/1980,615.95
08/14/1980,623
08/15/1980,626
08/18/1980,609.75
08/19/1980,620.75
08/20/1980,622.75
08/21/1980,640.5
08/22/1980,639.5
08/26/1980,629
08/27/1980,632.75
08/28/1980,633.75
08/29/1980,633.75
09/01/1980,626.25
09/02/1980,632.25
09/03/1980,636.7
09/04/1980,637.25
09/05/1980,647.5
09/08/1980,660
09/09/1980,674
09/10/1980,686
